Date,Campaign_Name,Channel,Impressions,Clicks,Conversions,Cost,CTR,Conversion_Rate,ROI
2025-01-01,Spring Launch,Google,42000,2520,210,1450.75,6.0,8.333333333333332,44.75271411338962
2025-01-02,Winter Clearance,Facebook,31000,1240,45,890.2,4.0,3.6290322580645165,-49.4495618962031
2025-01-03,Black Friday,Instagram,15000,1800,220,675.5,12.0,12.222222222222221,225.68467801628424
2025-01-04,Holiday Promo,Email,9000,1350,320,120.0,15.0,23.703703703703706,2566.666666666667
2025-01-05,Summer Sale,TikTok,18000,540,22,450.0,3.0,4.074074074074074,-51.11111111111111
2025-01-06,Back to School,Google,47000,3290,410,1825.4,7.000000000000001,12.462006079027356,124.60830502903472
2025-01-07,Spring Launch,Facebook,28000,980,31,725.1,3.5000000000000004,3.1632653061224487,-57.24727623776032
2025-01-08,Winter Clearance,Instagram,12000,1440,280,510.9,12.0,19.444444444444446,448.052456449403
2025-01-09,Holiday Promo,Email,7500,1125,270,95.5,15.0,24.0,2727.2251308900522
2025-01-10,Black Friday,Google,39000,1560,70,1300.0,4.0,4.487179487179487,-46.15384615384615
2025-01-11,Summer Sale,Facebook,35000,2100,250,1500.0,6.0,11.904761904761903,66.66666666666666
2025-01-12,Back to School,TikTok,22000,660,45,680.25,3.0,6.8181818181818175,-33.84785005512679
2025-01-13,Spring Launch,Instagram,18000,2160,340,850.6,12.0,15.74074074074074,299.7178462261933
2025-01-14,Holiday Promo,Email,11000,1980,420,300.0,18.0,21.21212121212121,1300.0
2025-01-15,Winter Clearance,Google,45000,2700,95,1750.0,6.0,3.5185185185185186,-45.714285714285715
2025-01-16,Black Friday,Facebook,33000,990,28,820.45,3.0,2.8282828282828283,-65.8723871046377
2025-01-17,Summer Sale,Instagram,21000,2730,390,940.0,13.0,14.285714285714285,314.8936170212766
2025-01-18,Back to School,Email,13000,2210,470,215.8,17.0,21.266968325791854,2077.942539388322
2025-01-19,Spring Launch,Google,41000,2870,360,1650.3,7.000000000000001,12.543554006968641,118.14215597164153
2025-01-20,Winter Clearance,TikTok,16000,480,18,390.5,3.0,3.75,-53.90524967989757
2025-01-21,Holiday Promo,Facebook,29000,1450,160,980.0,5.0,11.03448275862069,63.26530612244898
2025-01-22,Black Friday,Google,50000,4000,500,1995.0,8.0,12.5,150.6265664160401
2025-01-23,Summer Sale,Instagram,14000,1960,300,610.25,14.000000000000002,15.306122448979592,391.60180253994264
2025-01-24,Back to School,Email,8000,1360,280,140.0,17.0,20.588235294117645,1900.0
2025-01-25,Spring Launch,TikTok,25000,1250,90,720.4,5.0,7.199999999999999,24.930594114380902
2025-01-26,Winter Clearance,Google,36000,1800,60,1180.9,5.0,3.3333333333333335,-49.191294775171485
2025-01-27,Holiday Promo,Facebook,24000,720,15,650.0,3.0,2.083333333333333,-76.92307692307693
2025-01-28,Black Friday,Instagram,26000,3380,450,1250.75,13.0,13.313609467455622,259.78412952228666
2025-01-29,Summer Sale,Email,17000,2890,500,410.0,17.0,17.301038062283737,1119.5121951219512
2025-01-30,Back to School,Google,44000,3520,420,1875.0,8.0,11.931818181818182,124.0
2025-01-31,Spring Launch,Facebook,37000,2590,310,1425.5,7.000000000000001,11.96911196911197,117.46755524377413
2025-02-01,Winter Clearance,TikTok,19000,760,40,510.2,4.0,5.263157894736842,-21.599372794982358
2025-02-02,Holiday Promo,Instagram,23000,2990,410,980.6,13.0,13.712374581939798,318.111360391597
2025-02-03,Black Friday,Email,12000,2160,380,250.0,18.0,17.59259259259259,1420.0
2025-02-06,Spring Launch,Instagram,19000,2470,350,790.25,13.0,14.17004048582996,342.8978171464726
2025-02-07,Winter Clearance,Email,9500,1710,320,185.0,18.0,18.71345029239766,1629.7297297297298
2025-02-08,Holiday Promo,Google,43000,3010,390,1680.75,7.000000000000001,12.956810631229235,132.0392681838465
2025-02-09,Black Friday,TikTok,21000,840,55,545.6,4.0,6.547619047619048,0.8064516129032216
2025-02-10,Summer Sale,Facebook,40000,2800,340,1590.0,7.000000000000001,12.142857142857142,113.83647798742138
2025-02-11,Back to School,Instagram,17000,2210,280,705.8,13.0,12.669683257918551,296.7129498441485
2025-02-12,Spring Launch,Email,14000,2520,500,395.0,18.0,19.841269841269842,1165.8227848101267
2025-02-13,Winter Clearance,Google,38000,2280,110,1240.5,6.0,4.824561403508771,-11.326078194276501
2025-02-14,Holiday Promo,Facebook,26000,780,20,620.0,3.0,2.564102564102564,-67.74193548387096
2025-02-15,Black Friday,Instagram,28000,3920,500,1380.4,14.000000000000002,12.755102040816327,262.21385105766444
2025-02-16,Summer Sale,Email,10000,1800,360,210.75,18.0,20.0,1608.1850533807828
2025-02-17,Back to School,Google,46000,3680,450,1920.0,8.0,12.228260869565217,134.375
2025-02-18,Spring Launch,TikTok,24000,1440,120,780.25,6.0,8.333333333333332,53.796859980775395
